AC002398.13	AC002398.13
AC002398.5	AC002398.5
AC002400.1	AC002400.1
AC002429.5	AC002429.5
AC002451.3	AC002451.3
AC002454.1	AC002454.1
AC002456.2	AC002456.2
AC002465.2	AC002465.2
AC002467.7	AC002467.7
AC002472.13	AC002472.13
AC002477.1	AC002477.1
AC002480.2	AC002480.2
AC002480.3	AC002480.3
AC002480.4	AC002480.4
AC002480.5	AC002480.5
AC002486.3	AC002486.3
AC002511.1	AC002511.1
AC002519.5	AC002519.5
AC002519.6	AC002519.6
AC002539.1	AC002539.1
AC002543.2	AC002543.2
AC002550.5	AC002550.5
AC002551.1	AC002551.1
AC002553.1	AC002553.1
AC002553.4	AC002553.4
AC002558.1	AC002558.1
AC002984.2	AC002984.2
AC003002.6	AC003002.6
AC003005.2	AC003005.2
AC003006.7	AC003006.7
AC003051.1	AC003051.1
AC003075.4	AC003075.4
AC003077.1	AC003077.1
AC003080.4	AC003080.4
AC003087.4	AC003087.4
AC003088.1	AC003088.1
AC003090.1	AC003090.1
AC003092.1	AC003092.1
AC003101.1	AC003101.1
AC003102.3	AC003102.3
AC003104.1	AC003104.1
AC003665.1	AC003665.1
AC003682.16	AC003682.16
AC003682.17	AC003682.17
AC003956.1	AC003956.1
AC003958.2	AC003958.2
AC003973.6	AC003973.6
AC003986.5	AC003986.5
AC003986.6	AC003986.6
AC003986.7	AC003986.7
AC003989.3	AC003989.3
AC003989.4	AC003989.4
AC003991.3	AC003991.3
AC004000.1	AC004000.1
AC004004.2	AC004004.2
AC004012.1	AC004012.1
AC004014.4	AC004014.4
AC004016.1	AC004016.1
AC004016.2	AC004016.2
AC004017.1	AC004017.1
AC004019.10	AC004019.10
AC004019.13	AC004019.13
AC004053.1	AC004053.1
AC004054.1	AC004054.1
AC004057.1	AC004057.1
AC004066.3	AC004066.3
AC004069.2	AC004069.2
AC004074.3	AC004074.3
AC004112.4	AC004112.4
AC004129.9	AC004129.9
AC004152.5	AC004152.5
AC004156.3	AC004156.3
AC004158.2	AC004158.2
AC004160.4	AC004160.4
AC004166.6	AC004166.6
AC004221.2	AC004221.2
AC004231.2	AC004231.2
AC004237.1	AC004237.1
AC004257.1	AC004257.1
AC004257.3	AC004257.3
AC004381.6	AC004381.6
AC004381.7	AC004381.7
AC004383.3	AC004383.3
AC004386.4	AC004386.4
AC004447.2	AC004447.2
AC004448.2	AC004448.2
AC004448.5	AC004448.5
AC004453.8	AC004453.8
AC004461.4	AC004461.4
AC004463.6	AC004463.6
AC004466.1	AC004466.1
AC004490.1	AC004490.1
AC004510.2	AC004510.2
AC004510.3	AC004510.3
AC004528.4	AC004528.4
AC004538.3	AC004538.3
AC004540.4	AC004540.4
AC004540.5	AC004540.5
AC004549.6	AC004549.6
AC004562.1	AC004562.1
AC004603.4	AC004603.4
AC004623.2	AC004623.2
AC004673.1	AC004673.1
AC004702.2	AC004702.2
AC004771.1	AC004771.1
AC004775.5	AC004775.5
AC004791.2	AC004791.2
AC004797.1	AC004797.1
AC004812.1	AC004812.1
AC004832.1	AC004832.1
AC004840.9	AC004840.9
AC004851.1	AC004851.1
AC004854.4	AC004854.4
AC004862.6	AC004862.6
AC004870.4	AC004870.4
AC004878.7	AC004878.7
AC004878.8	AC004878.8
AC004893.11	AC004893.11
AC004895.4	AC004895.4
AC004909.3	AC004909.3
AC004920.2	AC004920.2
AC004938.5	AC004938.5
AC004941.3	AC004941.3
AC004941.5	AC004941.5
AC004947.2	AC004947.2
AC004951.6	AC004951.6
AC004967.11	AC004967.11
AC004967.7	AC004967.7
AC004967.8	AC004967.8
AC004980.10	AC004980.10
AC004980.11	AC004980.11
AC004980.7	AC004980.7
AC004980.9	AC004980.9
AC004987.9	AC004987.9
AC004988.1	AC004988.1
AC005003.1	AC005003.1
AC005007.3	AC005007.3
AC005009.1	AC005009.1
AC005009.2	AC005009.2
AC005013.5	AC005013.5
AC005014.5	AC005014.5
AC005017.2	AC005017.2
AC005019.2	AC005019.2
AC005022.1	AC005022.1
AC005027.3	AC005027.3
AC005037.2	AC005037.2
AC005037.3	AC005037.3
AC005037.4	AC005037.4
AC005042.2	AC005042.2
